date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2018-04-24,2018-04-24,212945167045.0,3.035,9.7915,0.036977,0.10213
2018-04-23,2018-04-23,211451218221.0,3.0137,9.7228,0.037238,0.102851
2018-04-20,2018-04-20,210474405528.0,2.9998,9.6779,0.037411,0.103328
2018-04-19,2018-04-19,209899809826.0,2.9916,9.6515,0.037514,0.103611
2018-04-18,2018-04-18,209669971545.0,2.9883,9.6409,0.037555,0.103725
2018-04-17,2018-04-17,208750618423.0,2.9752,9.5986,0.03772,0.104182
2018-04-16,2018-04-16,209899809826.0,2.9916,9.6515,0.037514,0.103611
2018-04-13,2018-04-13,208693158852.0,2.9744,9.596,0.037731,0.10421
2018-04-12,2018-04-12,208693158852.0,2.9744,9.596,0.037731,0.10421
2018-04-11,2018-04-11,205647801634.0,2.931,9.4559,0.038289,0.105754
2018-04-10,2018-04-10,206567154756.0,2.9441,9.4982,0.038119,0.105283
2018-04-09,2018-04-09,203751635818.0,2.904,9.3688,0.038646,0.106738
